职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
IDC采购专员,深圳,清云云计算(深圳)有限公司,本科,3-5年,"招商采购,数据中心采购,服务器采购",2-3.5万,岗位职责负责公司IDC硬件类（服务器、配件、交换机、网络设备等）采购供应链工作，包括但不限于以下几方面：1、负责硬件设备类供应商寻源及采购工作，按照公司采购计划和流程完成采购工作，并提出合理的产品价格。2、负责硬件设备类供应商管理，建立良好的合作关系，确保采购的顺利进行。3、负责跟进采购项目进度，对采购合同进行管理和跟踪，处理采购项目的风险和问题；4、负责采购成本的预算和控制，对采购成本进行分析和...,人工智能,http://jobs.zhaopin.com/CCL1308498350J40874729202.htm,20-99人,2025-12-05 14:20:49
亚马逊精品运营专员/ 7.5h+双休+五险一金,深圳,深圳市喜达科技有限公司,本科,1-3年,"亚马逊,精品运营,英语,日语,法语",1.8-3.5万,【热招】精品运营专员（3C 爆款经验复用・核心岗）一、核心职责：全链路操盘，打造 3C 类目爆款标杆 1.精品店铺全流程运营：负责亚马逊全球核心站点（欧美日为主）的全链路运营，聚焦 3C 高端配件（手机壳、支架等），从选品调研、Listing 精细化优化（标题 / 关键词 / A + 页面 / 视频）到上架推广，全程主导执行； 2.爆款策略落地与优化：制定单品爆款打造计划，通过精准的 CPC 广告...,贸易/进出口,http://jobs.zhaopin.com/CC372133630J40830620805.htm,100-299人,2025-12-04 09:18:38
商文旅运营总监,深圳,蕾奥规划,本科,5-10年,"文旅,招商运营,运营策划",2-3.5万,岗位职责：1、调研与价值判断：独立带队对新项目地块进行现场勘查，快速判断其商业价值、文化潜力及客群画像；主导完成市场调研、竞争对手分析、客群研究及财务可行性分析，形成专业的《项目前期调研报告》及《商业计划书》；2、商业策划与定位：基于在地文化属性，提出项目的核心主题、商业定位、业态规划与品牌落位方案；能塑造项目独特的文化IP和品牌故事，确保商业规划与文化调性高度统一；3、招商资源与落地：主导整个招...,专业技术服务,http://jobs.zhaopin.com/CC547527880J40803465107.htm,500-999人,2025-12-03 14:49:54
双休底薪6600招运营/七小时工作制/五险一金,深圳,中国平安,大专,经验不限,"五险一金补充医疗保险,年终奖，带薪年假,朝九晚六,双休不加班",面议,"此岗位本月急招,招满为止！！！可接受无经验,公司提供完善的培训和发展空间！上班时间早上9：00-12：00，2：00-6：00七小时工作制,周末双休,不加班工作内容：针对已购客户做好维护,解答客户问题无需开发新客户,仅需做好客户承接就可以做好公司的老客户维系和服务,树立公司的形象薪资待遇底薪6600+提成+高额奖金+福利:综合收入18K-30K福利待遇1,上班时间早上9:00到下年6:00,午休2...",银行,http://jobs.zhaopin.com/CC000204810J40855591812.htm,10000人以上,2025-12-03 13:41:49
金融贷款销售专员（提供客户资源+住宿）小白也可以,深圳,深圳市瑞思通金融服务有限公司,学历不限,经验不限,,1.8-3.5万,深圳银行居间行业龙头企业，规模实力雄厚的银行贷款中介公司。公司高管全部由曾任职于各头部银行高管组成。团队朝气上进，有强大的晋升空间。独特合伙人机制，让每个人都有机会成为公司的合伙人股东。公司力求和各位同仁共同长远稳定发展。任职要求：年龄20-40岁岗位职责：1、公司提供精准优质客户资源，通过电话的形式跟进有需求的意向客户和邀约；2、无经验可总监亲自全程带学。福利待遇：1、公司提供入职培训，学习金融...,咨询服务,http://jobs.zhaopin.com/CC820032410J40483769216.htm,500-999人,2025-11-28 10:34:13
运营经理,深圳,熵数科技(深圳)有限公司,本科,3-5年,"社群运营,toC",2-3.5万,一、岗位职责1、制定 APP 全生命周期推广策略，规划从 0 到 1 冷启动及后续增长方案，完成用户拉新、留存、促活目标2、开拓并维护应用商店、社交媒体、信息流广告等核心推广渠道，优化投放策略，提升下载转化率3、策划并执行裂变活动、KOL 合作、异业联动等营销活动，打造爆款传播事件4、监控推广数据（CPI、ROI 等），分析用户行为，及时调整优化推广方案5、协同产品、设计、技术等部门，确保推广素材...,人工智能,http://jobs.zhaopin.com/CCL1495978530J40823113110.htm,20人以下,2025-11-24 11:34:21
资深合规专员2454-10802,深圳,富士康科技集团,本科,3-5年,"出口管制法规,合规法律,熟悉西班牙语和中文",2.5-3.5万·13薪,一、职位概述为公司墨西哥厂区提供出口管制、隐私保护、劳动与雇佣等领域的合规支持，支持业务单位的合同审查及出具法律意见。候选人有墨西哥律师执照（优先），具墨西哥法律教育背景Bachelor of Laws in Mexico，西班牙语及中文双语流利。二、岗位职责1、法规跟踪与解读：及时更新并解读与墨西哥经营相关法规，不限于《商业企业法》、《股份公司法》、《联邦经济竞争法》、《对外贸易法》、《私有主体...,电子设备制造,http://jobs.zhaopin.com/CC146033880J40681542801.htm,10000人以上,2025-11-18 14:18:26
金融电话销售专员,深圳,深圳市瑞思通金融服务有限公司,学历不限,经验不限,"电话销售,销售",1.8-3.5万,岗位职责： 电话邀约有意向的客户到公司，有专业人士帮忙谈单 上班时间：早九晚六点半，午休两小时，周六固定休 薪资：8000补贴+提成25% 本岗位接受无经验人员，入职会有培训，也有老人带,咨询服务,http://jobs.zhaopin.com/CC820032410J40487841516.htm,500-999人,2025-11-28 10:33:13
招商运营主管（大湾区事业部）(J12890),深圳,深圳联粤房地产开发有限公司,本科,3-5年,"房地产开发,招商",2-3.5万,岗位职责:1、负责商业项目整体招商工作，对商业物业的功能定位、规划布局、业态组合、宣传推广、招商租赁等方面进行统筹。2、掌握客户资源及市场动向，进行客户需求分析，评估主力商家入驻可能性，完成业态规划、品牌落位规划等招商筹备工作。3、制定并完成招商目标，定期分析经营数据，诊断问题并及时提出商业业态调整方案。4、负责对接招商团队开展工作，制定相关考核指标，主导前期各项招商准备工作。任职要求:1、本科以...,房地产开发,http://jobs.zhaopin.com/CCL1288731200J40805216611.htm,10000人以上,2025-11-13 16:29:49
小数数学运营负责人+保底收入25K起+双休,深圳,深圳市大朋友教育科技有限公司,本科,5-10年,"小学,线下授课,集体授课,小班授课,授课老师,教研,小学教师资格证书,初级中学教师资格证书,高级中学教师资格证书,小学数学老师,高思,爱学习",2.5-3.5万,一、 岗位职责1. 教学与教研1）负责小学数学1-3/4-6年级数学教学工作，亲自授课，打造教学口碑和标杆课程。2）建立并执行数学教学质量监控体系，包括但不限于定期听课、教案检查、学生满意度调查及成绩分析。3）组织并主导数学学科的教研活动，如集体备课、教学难点攻关、公开课示范等，沉淀优秀的教学方法和案例。2. 师训与团队管理1）制定并实施新教师入职培训计划，帮助其快速融入团队、掌握教学标准与流程。...,培训/辅导服务,http://jobs.zhaopin.com/CC516893480J40841187613.htm,300-499人,2025-11-12 09:55:35
运营管理总监（吊装设备）,深圳,深圳前海聚诚科技股份有限公司,本科,5-10年,销售运营,2.8-3.5万,主要职责：1.海外市场（阿联酋）的设备租赁的现场管理、人员以及施工安全管理。2.牵头主导关键商务租赁合同等文件的拟定、审核以及签订。3.全面负责安全管理体系： 制定、完善并监督执行适用于海外项目的设备安全操作细则、现场安全管理规定及应急预案。4.搭建、培养和管理海外运营团队。5.管理与协调内外部资源，确保对海外项目的支持高效、有力。任职要求：1.必备经验： 5年以上在大型工程机械行业的工作经验，熟...,零售/批发,http://jobs.zhaopin.com/CC812882370J40855856602.htm,100-299人,2025-11-10 18:08:42
