职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
大数据平台架构师(004449),武汉,中国移动,本科,3-5年,"数据治理,数据建模,数据库开发",,岗位职责:1、主导大数据平台的战略规划与顶层架构设计，制定全生命周期技术标准与规范文档，推动技术架构的持续优化与演进。 2、统筹大数据平台的数据采集、处理、存储、挖掘分析等核心功能架构设计，指导团队完成高可用、高性能技术方案落地实现。 3、深度参与业务需求调研，结合行业特性与技术趋势，设计前瞻性的大数据解决方案，把控项目实施全流程，确保技术方案与业务目标高度契合。 4、负责技术难题攻关，解决大数据...,运营商/增值服务,http://jobs.zhaopin.com/CC000413680J40814439413.htm,10000人以上,2026-01-08 01:34:36,,,
数据云服务研发工程师,武汉,软通动力信息技术(集团)股份有限公司,本科,经验不限,"数据治理,数据挖掘,数据库开发,Java,Python,C语言",15000-21000,1、负责自动驾驶车端大规模数据的采集及处理，包括多传感器的数据清洗、标签抽取、特征融合等模块的设计与开发。2、为自动驾驶数据设计合理的数仓分层结构，构建合规、合理的数据存储体系，实现数据的高效流转与应用。3、开发自动驾驶云平台各功能模块，采用微服务架构，全程参与产品开发，提升研发、运营、管理的使用体验。4、持续优化数据质量和效率，提供面向算法的各类数据服务/平台，推动数据驱动模型改善和整体自动驾驶...,互联网,http://jobs.zhaopin.com/CC000544460J40786243816.htm,10000人以上,2026-01-08 13:58:41,15000.0,21000.0,12.0
c/c++开发工程师（数据库开发）,武汉,武汉达梦数据库股份有限公司,本科,经验不限,"C++,C语言,GoLang,Oracle,MySQL,分布式存储",14000-20000,岗位职责：1、负责数据库后端开发，设计并实现高性能、高可用的系统架构；2、持续改进数据库优化器，提出方案并实现；3、参与系统设计和开发，负责编写高质量的代码和文档；4、负责解决技术难题和优化系统性能，保证系统的稳定性和可靠性；5、参与团队技术分享和交流，推动团队技术进步。任职要求：1、计算机相关专业本科或以上学历；2、精通C/C++语言，有rust语言或者GO语言开发经验者优先；3、熟悉常用的数据...,IT服务,http://jobs.zhaopin.com/CC203847920J40745954107.htm,1000-9999人,2026-01-05 16:55:05,14000.0,20000.0,12.0
数据库工程师,武汉,九江银行,本科,经验不限,"Oracle,MySQL,Redis",10000-20000,岗位职责:1.负责全行数据库的日常维护，包括故障排查、性能优化、数据库升级或迁移;2.负责全行数据库备份规划管理，包括数据库备份配置、故障处理、备份有效性校验。3.负责全行数据库相关故障的排查、处理、优化，并且提出针对性的预防措施。4.负责规划全行数据库架构设计，包括数据库版本、性能参数、高可用、容灾架构等方面的设计及实施和维护。 任职要求:1.初始学历为本科及以上，计算机、网络、电子、通讯等相关...,银行,http://jobs.zhaopin.com/CC450650120J40601731810.htm,1000-9999人,2025-12-27 01:26:30,10000.0,20000.0,12.0
数据云服务研发,武汉,软通动力信息技术(集团)股份有限公司,本科,3-5年,"Python,Shell,Go,C++,ADAS开发,数据开发,数据结构,Hadoop,MapReduce",15000-20000,岗位职责：1、负责自动驾驶车端大规模数据的采集及处理，包括多传感器的数据清洗、标签抽取、特征融合等模块的设计与开发。2、为自动驾驶数据设计合理的数仓分层结构，构建合规、合理的数据存储体系，实现数据的高效流转与应用。3、开发自动驾驶云平台各功能模块，采用微服务架构，全程参与产品开发，提升研发、运营、管理的使用体验。4、持续优化数据质量和效率，提供面向算法的各类数据服务/平台，推动数据驱动模型改善和整...,互联网,http://jobs.zhaopin.com/CC000544460J40786003916.htm,10000人以上,2026-01-10 01:49:12,15000.0,20000.0,12.0
武汉直播中心-数据分析岗,武汉,重庆海尔家电销售有限公司,大专,1-3年,"数据挖掘,BI工具,Matlab,Tableau,Power BI",,1、直播实时数据监控与预警①实时跟踪直播关键指标（如在线人数峰值、GMV达成进度、互动率、转粉率），发现异常波动（如流量骤降、转化率偏离阈值）时及时预警并反馈给运营团队；②监控直播间流量来源（自然流量 vs 付费流量），分析流量结构合理性并提出调整建议（如优化投放策略）；2、直播效果复盘与策略优化：每场直播结束后，输出数据复盘报告，包括：用户行为分析、商品转化分析、内容效果评估等，并给予数据结论，...,耐用消费品,http://jobs.zhaopin.com/CC358862320J40745247814.htm,10000人以上,2025-07-04 15:23:21,,,
大数据应用开发工程师,武汉,盛视科技,本科,5-10年,"数据中台开发,Java,Kafka",10000-20000,岗位要求：1、本科及以上学历，计算机相关专业，有5年及以上Java开发经验；2、Java基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；3、熟悉Java Web技术体系，如SpringMVC、SpringBoot/SpringCloud、Hibernate、JPA等开源框架；4、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；5、熟悉Flink、Spark、Scal...,人工智能,http://jobs.zhaopin.com/CC152838410J40682092206.htm,500-999人,2025-06-10 09:55:21,10000.0,20000.0,12.0
数据云服务开发,武汉,软通动力信息技术(集团)股份有限公司,本科,5-10年,"数据仓库,Java,Python,Scala,Flink",15000-20000,岗位职责：1. 负责自动驾驶车端大规模数据的采集及处理，包括多传感器的数据清洗、标签抽取、特征融合等模块的设计与开发。2. 为自动驾驶数据设计合理的数仓分层结构，构建合规、合理的数据存储体系，实现数据的高效流转与应用。3. 开发自动驾驶云平台各功能模块，采用微服务架构，全程参与产品开发，提升研发、运营、管理的使用体验。4. 持续优化数据质量和效率，提供面向算法的各类数据服务/平台，推动数据驱动模型...,互联网,http://jobs.zhaopin.com/CC000544460J40786598416.htm,10000人以上,2026-01-09 16:31:46,15000.0,20000.0,12.0
大数据工程师,武汉,北京赛晶电力电子科技有限公司,本科,3-5年,"Python,数据库开发",10000-20000,职位描述：1、本岗位负责根据应用场景进行算法的选择、建模、以及算法模型的迭代优化；2、负责对算法进行应用对比研究，尤其是深度学习算法的应用研究；3、重点对设备故障智能诊断算法和寿命预测算法进行研究；4、负责对算法的代码实现，维护及改进工作。任职要求：1、理工类数据、统计学、计算机相关专业；2、熟练掌握 Python 等编程语言，熟悉MATLAB 、TensorFlow ；3、具有统计建模、深度学习...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC428617920J40714704309.htm,1000-9999人,2025-03-26 09:42:16,10000.0,20000.0,12.0
数据治理,武汉,南京晶石信息科技有限公司,大专,3-5年,数据治理,14000-19000,【学历及专业】电气、计算机、软件工程、信息管理相关专业，本科及以上学历【工作经验】1.3年以上数字化项目或国家电网信息化项目建设经验；2.主导过数据中台建设、数据治理、数据应用产品、数据运营等相关项目； 3.掌握营销2.0相关业务（如同时了解ERP、新一代电力交易、用采、D5000、调控云更好），要有业务需求转换为技术实现的能力。 4.具有较好的沟通表达文案能力，具备基本的基于阿里云的数据开发经验...,计算机软件,http://jobs.zhaopin.com/CCL1222995830J40830723203.htm,20-99人,2026-01-09 15:29:47,14000.0,19000.0,12.0
