职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
大气数据分析师,南京,南京德泽环保科技有限公司,本科,经验不限,,,岗位要求：本科及以上学历，化学、环境、相关专业；有环境分析经验工作内容：（1）开展预报预警和分析会商。每周提供未来一周空气质量预报，针对预报可能到来的污染，提前发布预警信息。污染过程中，加密开展临近预报预测，结合省控站、乡镇站、污染源在线监测数据、气象数据，滚动更新临近预报，研判污染态势，并提出管控建议意见。（2）实时监控数据，做好高值播报和简析基于本地空气质量考核监测数据信息，对当日空气质量情况...,环保,http://jobs.zhaopin.com/CC396353210J40819676701.htm,20-99人,2026-01-09 13:46:46,,,
业务助理,南京,爱谱华顿,本科,经验不限,,,岗位要求：1、985 211学校毕业，本科及以上学历，专业不限，接受应届毕业生；2、善于沟通，思维活跃，有很好的组织及协调能力；3、熟练使用officej及excel软件，擅长表格制作及数据统计；4、能接受一定的工作强度。 主要职责： 1.负责客户数据的统计整理； 2.参与销售数据统计、分析与报表制作，对销售数据进行深度挖掘。 3.领导交付的其他工作,电子/半导体/集成电路,http://jobs.zhaopin.com/CC131100140J40835398212.htm,1000-9999人,2026-01-08 01:31:42,,,
数据专员+包餐,南京,南京可优米网络科技有限公司,大专,1年以下,"销售数据运营,投放数据分析,excel,word",,1.日常广告投放的消费统计；2. 对部门上传数据的核实与整理；3. 每天数据报表的制作和汇总；4 协助运营做运营账号的工作；5.完成领导交代的其他事宜。职位要求：1.工作认真细致，具备较强学习力；2.情商较高，有较强的沟通协调能力。团队协同、团队合作意识强；3.熟练掌握Word、Excel、PowerPoint等日常办公软件工作时间：早九晚五点半，周日单休福利待遇：包中晚餐，节假日正常休息，入职缴...,通信/网络设备,http://jobs.zhaopin.com/CC456265680J40741723209.htm,100-299人,2026-01-09 11:18:03,,,
数据分析工程师,南京,南京南审审计大数据研究院有限公司,大专,1-3年,"SQL,Kettle,BI工具",,岗位职责： （应届毕业择优录用）（面试需进行sql语句测试，请自行复习）1.负责数据统计收集及分析的工作；2.与部门随时保持沟通联系，落实数据的准确性；3.负责信息的抽取、去重、分类、解析、增量；4.简单设计或使用爬虫工具爬取网络数据；5.能独立解决实际开发过程碰到的各类问题；任职要求：1.本科及以上，应用数据或统计类或计算机类管理类相关专业；2.具备沟通能力、团队合作能力，耐心细致、踏实稳重；3...,计算机软件,http://jobs.zhaopin.com/CC624960680J40475932616.htm,20人以下,2025-12-16 00:00:03,,,
网络数据管理员,南京,南京娇子藤科学器材有限公司,学历不限,1-3年,电商数据运营,,岗位职责：1.负责销售平台数据的录入2.负责销售数据的上传3.公司网站和销售平台的数据对接4.领导安排的其他工作任职要求：1.中专1年以上工作经验，2.熟练操作办公软件3.精通excel运用职位福利：五险一金,零售/批发,http://jobs.zhaopin.com/CC281618018J90250009000.htm,20人以下,2025-11-22 11:37:39,,,
数字化运营专员,南京,南京创力传动机械有限公司,本科,1-3年,"销售数据运营,经营数据分析",,1. 负责CRM系统的日常操作与维护，包括客户信息录入、更新、分类管理及数据统计分析，保障客户数据精准与系统稳定运行。2. 运用各类AR工具（如AR营销制作、虚拟展示工具等）设计并落地相关业务场景内容，提升客户体验或营销效果。3. 熟练操作抖音、豆包、元宝等办公及营销类软件，开展内容创作、客户沟通、高效办公等相关工作，助力业务推进。4. 结合CRM数据与AR、新媒体工具，优化客户服务流程或营销方案...,电气机械/电力设备,http://jobs.zhaopin.com/CC168135910J40810251507.htm,100-299人,2025-11-20 00:00:02,,,
数据文员,南京,南京奥青生物技术有限公司,大专,3-5年,"数据治理,数据建模,报表开发,Python,R语言,SPSS",,岗位职责:数据处理与分析能力1，负责日常数据的整理与分析，确保数据的准确性和完整性;如排序、筛选、查找和替换数据等。2，运用数据分析工具和技术，为公司提供有价值的业务洞察和决策支持;如使用SUM、AVERAGE、COUNT等基础函数，以及掌握一些高级函数如VLOOKUP、IF等。掌握数据可视化方法(如图表制作、条件格式)以呈现分析结果。1，设计并优化数据展示方式，提升数据传达效果。如创建柱形图、折...,学术/科研,http://jobs.zhaopin.com/CC465930210J40821126210.htm,100-299人,2025-11-15 20:48:16,,,
自动售货机系统优化专员,南京,江苏有货供应链管理有限公司,大专,1-3年,销售数据分析,,岗位职责：1.售货机产品上下架、优化及换品设计、制单等；2. 月计划、销售目标制定，销售数据分析，提升机器销售额，提升客户体验；任职要求：1. 熟悉办公软件、表格制作；2. 有快消品行业经验的优先。工作时间：8:30-5:30， 单休薪资待遇：6k，节假日福利、生日福利等。距离近，能接受上班时间的优先。,快速消费品,http://jobs.zhaopin.com/CCL1319253400J40813314305.htm,20-99人,2026-01-10 01:13:41,,,
数据分析员,南京,南京盛佳建业科技有限责任公司,大专,1-3年,"数据分析,云计算",,岗位职责： 1、按时（日/月/季/年）编制并提交云资源使用情况报告； 2、对运营数据进行多维度的监控与统计分析，为服务优化提供建议； 3、通过轻量级脚本开发实现数据提取和报表自动化； 4、整理输出对账数据。 岗位需求： 1、理解云计算基础概念，熟悉基本运营业务逻辑，熟悉云资源的主要计费项和性能指标； 2、熟练Excel。,通信/网络设备,http://jobs.zhaopin.com/CC677699320J40866800603.htm,500-999人,2026-01-10 01:08:04,,,
数据分析员,南京,丰沃创新(北京)科技有限公司,大专,1-3年,"Python,Sql,excel,Tableau,云运维运营经验",,岗位职责： 1. 按时（日/月/季/年）编制并提交云资源使用情况报告。2. 对运营数据进行多维度的监控与统计分析，为服务优化提供建议。3. 通过轻量级脚本开发实现数据提取和报表自动化。4. 整理输出对账数据。岗位要求：1. 理解云计算基础概念，熟悉基本运营业务逻辑、云资源的主要计费项和性能指标；2. 具备良好的数据处理和可视化能力，熟悉Sql、python、Tableau、Excel等数据工具；3...,互联网,http://jobs.zhaopin.com/CC454917820J40835212205.htm,300-499人,2025-12-25 14:05:08,,,
