职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
研发工程师（双极型工艺模拟IC方向）,北京,中科新微特,硕士,3-5年,CADENCE VIRTUOSO,20000-30000,岗位要求：1. 负责基于双极型工艺的模拟集成电路设计研发与仿真验证工作，解决研发过程中的相关设计、工艺、参数、可靠性的问题；2. 负责基于双极型工艺的模拟集成电路的版图布局、布线工作。能够精细规划版图，优化匹配、降低寄生效应，确保电路性能在版图实现后达到设计目标；3. 负责集成电路产品从设计、布局、调试、批产支持等各阶段工作；4. 负责集成电路产品新技术、新标准、新工具和新方法研究及开发；5. 负...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC246026510J40802215810.htm,20-99人,2025-09-18 16:46:18,20000.0,30000.0,14.0
器件工艺与集成特别研究助理,北京,中国科学院微电子研究所,博士,经验不限,"博士后,微电子学与固体电子学",25000-30000,岗位职责：1. 开展新新型存储器工艺开发及可靠性优化研究；2. 围绕新型存储器件实验与测试、器件模型与机理研究，器件与电路的协同设计方法开展研究。岗位要求：1. 具备物理学、半导体物理、半导体制造等相关知识背景和追踪国际前沿科研成果的能力，具有方向建设能力；2．熟练掌握CMOS工艺制造的流程和相关技术；3．熟练掌握各类存储器的机理、可靠性及集成等理论知识；4．熟练应用相关测试仪器和表征手段等。,电子/半导体/集成电路,http://jobs.zhaopin.com/CC000551140J40805974607.htm,1000-9999人,2025-11-03 14:56:42,25000.0,30000.0,12.0
工艺方案工程师-海外项目,北京,金科环境股份有限公司,本科,3-5年,"废水,净水,工艺设计",20000-30000,岗位职责：主要支持海外事业部相关项目的方案及投标工作牵头方案和投标文件的准备；负责与外国人进行方案对接任职要求：至少3-5年水处理工程领域的工作经验，英语能做为工作语言-掌握并理解各种水及污水处理工艺；-熟悉国内膜法水处理污水/中水回用相关工艺及常用膜产品；,环保,http://jobs.zhaopin.com/CC120846860J40795710614.htm,100-299人,2025-09-18 00:09:24,20000.0,30000.0,16.0
复合材料工艺工程师,北京,蜻蜓翼行(杭州)科技有限公司北京分公司,本科,3-5年,"材料工艺设计,复合材料",15000-30000,岗位职责：(侧重于写）1.负责制定生产制造工艺方案、装配测试工艺方案、工艺路线等综合工艺文件编制2.负责总装总测工艺文件编制、工艺技术交底、编写工艺总结报告，能为飞行器设计方案提出一定修改意见3.建立、健全公司工艺管理制度、操作规程体系、并监督执行4.负责制造协调、总装调试和系统集成、转配工艺设计5.负责提出装配环境、设备、工装、工具等保障条件6.完成上级交代的任务任职要求：1.本科级以上学历，航...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1491563610J40773429411.htm,20-99人,2025-09-16 00:07:21,15000.0,30000.0,13.0
微系统集成工艺特别研究助理,北京,中国科学院微电子研究所,博士,经验不限,系统集成,15000-30000,岗位职责： 1. 负责先进微系统的结构仿真设计、器件选型、工艺开发、性能测试等； 2. 负责相关项目的材料撰写、项目争取以及项目推进等工作； 3. 参与项目组中先进MEMS传感器的设计与工艺开发； 4. 配合项目组完成相关项目的申请、推进以及结题等工作； 5. 完成领导交代的其他工作。 岗位要求： 1. 具备MEMS器件开发项目经验； 2.具备MEMS工艺集成能力、特殊工艺开发能力； 3.熟悉芯片...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC000551140J40241112607.htm,1000-9999人,2025-10-28 09:08:39,15000.0,30000.0,12.0
半导体工艺工程师,北京,武汉市智通人力资源公司,硕士,经验不限,"蚀刻工艺,清洗工艺,封装工艺,曝光工艺,镀膜工艺,外延工艺",15000-30000,工作职责1、执行、优化工艺流程、工艺参数及产品标准，解决客户现场问题；2、检查各工序的工艺执行并做好记录，对现有技术进行优化。任职资格1、硕士及以上学历，微电子、半导体材料、材料物理与化学、等离子体等专业；2、具有5年以上半导体工艺工作经验；3、具备解决问题的能力，统计调查分析能力，善于发现并解决问题。,人力资源服务,http://jobs.zhaopin.com/CC262851910J40786301203.htm,10000人以上,2025-09-12 15:23:24,15000.0,30000.0,14.0
氨基酸工艺工程师,北京,宁夏伊品投资集团有限公司,大专,5-10年,,18000-30000,1、大专及以上学历，发酵工程、生物工程等相关专优先。2、熟悉项目设计、建设流程、掌握氨基酸生产工艺及设备知识。3、7年以上氨基酸生产/技术管理经验，具备解决氨基酸工艺异常问题的能力。4、有大型项目参建经验、工艺优化经验者优先。5、具备较为宽泛的知识面，好学习，善钻研，能吃苦耐劳；6、具有较强的公关、沟通能力以及执行力。7、认同企业文化。8、熟练使用CAD、Xmind、Visio等产品设计与管理工具...,投资/融资,http://jobs.zhaopin.com/CC286182530J40611397006.htm,20-99人,2025-09-11 10:02:00,18000.0,30000.0,12.0
酶解熊胆粉工艺技术员,北京,中食科创(北京)企业管理发展有限公司,大专,3-5年,"微生物工程,酶解熊胆粉工艺,生物药",20000-30000,一、职位描述酶解熊胆粉工艺技术员主要负责依据严格的药品生产质量管理规范（GMP）和标准操作规程（SOP），运用猪牛羊等常见胆汁作为原料，通过酶解、转化、纯化等关键技术，完成熊胆粉替代品的生产全过程。该岗位需要员工具备高度的责任心、严谨细致的科学态度以及扎实的动手能力，以保障生产流程稳定高效、产品质量均一可控。二、主要职责与工作内容1、核心工艺操作：（1）独立完成原料胆汁的前处理、过滤、均质等预处理...,投资/融资,http://jobs.zhaopin.com/CC850434270J40810914002.htm,20人以下,2025-09-05 16:24:18,20000.0,30000.0,12.0
制剂工艺开发高级研究员,北京,甘李药业,硕士,5-10年,"生物药,生物药制剂,处方工艺开发,中试车间",25000-30000,岗位描述：1. 负责制剂中试生产团队、处方开发团队、制剂工艺开发团队的内部日常工作管理、专业技术管理，GMP符合性管理及与相关部门的协调工作，确保团队的高效运作；2. 负责制剂中试放大批次、毒理批次以及临床批次的生产；3. 负责制剂处方开发、制剂小试、中试生产工艺开发、制剂生产工艺表征等相关工作；4. 负责技术转移以及转移过程中的相关文件撰写。任职要求：1. 药物制剂或药学相关专业硕士及以上学历，...,医药制造,http://jobs.zhaopin.com/CC146666250J40751477710.htm,1000-9999人,2025-09-03 15:05:25,25000.0,30000.0,13.0
显示面板工艺设备经理,北京,苏州知睿精工科技有限公司,本科,5-10年,"PVD设备,薄膜设备,蚀刻设备,半导体曝光机,显示面板厂,京东方,设备升级改造",16000-30000,工作方向：技术革新+半导体设备改造+商务拓展岗位职责：1. 主导Array/Cell段半导体设备改造（曝光/蚀刻/蒸镀） 2. 开发OLED产线良率提升方案，主导项目设计、实施与验收。 3. 与面板厂建立并维护良好的商务合作关系，拓展设备合作机会；4. 协调内外部资源，推动新工艺、新技术在产线的应用落地。任职要求：1. 本科及以上学历，电子工程、材料科学或相关专业背景；2. 5+年Array/Ce...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1301508550J40935331304.htm,20-99人,2025-09-03 00:00:03,16000.0,30000.0,12.0
